Type,Image,Pixel,Time
bottle,1.0,0.98102312090454,0.0160000000032596
cable,0.8832458770614693,0.964152171640564,0.0149999999994179
capsule,0.925009972078181,0.9872333238716126,0.0149999999994179
carpet,0.9975922953451044,0.9833896388280896,0.0310000000026775
grid,0.924812030075188,0.956258872403666,0.0160000000032596
hazelnut,0.9121428571428573,0.9776022837019192,0.0149999999994179
leather,0.9983016304347826,0.9815447899744084,0.0160000000032596
metal_nut,0.9931573802541545,0.9613395835117444,0.0159999999887077
pill,0.9514457174031644,0.9600665128817706,0.0160000000032596
screw,0.8409510145521623,0.9771607273871606,0.0160000000032596
tile,0.9873737373737376,0.9364304700679468,0.0160000000032596
toothbrush,0.9722222222222222,0.9889927028958831,0.0160000000032596
transistor,0.9783333333333334,0.9748036132524732,0.0159999999887077
wood,0.992982456140351,0.9182397353824138,0.0159999999887077
zipper,0.902310924369748,0.9810861439807144,0.0149999999994179
Average,0.9506587631857638,0.9686215793789936,0.0167333333326193
